gid,cluster,source_id,known_member,Gamma,ra,dec,pmra,pmdec,G,bp_rp,Y_index
0,cluster 0,4730946647374955776,,58.70096248817955,53.09391321051888,-55.08489560691929,-1.1561190747869636,-0.5698361883032625,20.201269149780273,1.5489025115966797,1942
0,cluster 0,4730933311499777408,,55.87690607675114,53.20212253590098,-55.19430973797573,-0.44239385483971266,0.01888832334941421,20.297780990600586,0.779052734375,75
0,cluster 0,4730930116046380672,,55.227990823999946,53.28315304441414,-55.2463954040266,-0.45037626547035925,-0.32359208595607136,20.69757652282715,0.43341636657714844,228
0,cluster 0,4730950663167766272,,54.63067846509208,52.91562867488968,-55.034444901415654,-0.5489160919592471,-0.058827068163179536,20.175830841064453,0.6138038635253906,569
0,cluster 0,4730953308867653888,,53.5536517741228,53.16174804706392,-54.977911506816596,-0.36042305599927704,-0.28932624131158097,19.60099220275879,0.8789176940917969,825
0,cluster 0,4730952243715686784,,53.06037125724211,53.1319772377033,-55.09329781947335,-0.04548238178278803,-0.3718613328763838,19.792184829711914,0.36046791076660156,571
1,cluster 1,4732601549813357824,ReticulumII,223.01254766542877,53.958808819471784,-54.0275515847898,2.467197836178074,-1.634720416497506,19.338605880737305,0.9771499633789062,1454
1,cluster 1,4732507605992924672,ReticulumII,222.4510925502286,53.90449140182146,-54.06699988983966,2.5011503743198156,-1.5999387392364612,18.105316162109375,0.9817962646484375,3396
1,cluster 1,4732507472849709568,ReticulumII,215.69947196697854,53.84941205758117,-54.06878018401691,2.432492954574549,-1.388737237083262,15.722196578979492,1.2644472122192383,2558
1,cluster 1,4732507537273433472,ReticulumII,210.8925174797609,53.91124028490841,-54.08209332954399,2.364463018921081,-1.457561945943355,20.488679885864258,0.9403095245361328,2312
1,cluster 1,4732601824691265280,ReticulumII,210.82777608093724,53.929527852413756,-54.00070762271933,2.506354693656286,-1.3091013563565732,20.112577438354492,0.3667411804199219,4211
1,cluster 1,4732504586631685376,ReticulumII,208.5523742899492,53.926129084439005,-54.09056550191544,2.42583702474191,-1.3366829413658825,19.682409286499023,0.5530815124511719,3144
