gid,n,S,Bhat,S/sqrt(B),best_match,n_best,purity_known,nearest_catalog,sep_deg,ra_c,dec_c,pmra_c,pmdec_c,n_BootesI,TPR_BootesI,n_BootesII,TPR_BootesII
0,126,126,28.829434590010987,23.466724926440243,BootesI,76,0.6031746031746031,Bootes I,0.26028147525358697,210.00763637682323,14.25349451238589,-0.3429750238084103,-1.2030157216190107,76,0.7524752475247525,0,0.0
1,7,7,16.253654033695195,1.7362910808798597,BootesII,7,1.0,Bootes II,0.006124839763331795,209.50983740623724,12.850800803697224,-2.485105656523557,-0.2889766520894651,0,0.0,7,0.3181818181818182
