gid,n,S,Bhat,S/sqrt(B),best_match,n_best,purity_known,nearest_catalog,sep_deg,ra_c,dec_c,pmra_c,pmdec_c,n_HorologiumII,TPR_HorologiumII,n_ReticulumII,TPR_ReticulumII
0,40,40,49.44620157520885,5.6884444820977,unidentified,0,0.0,Reticulum II,1.0824716037826025,53.04023440176596,-55.00892747670457,-0.4637622131487913,-0.1659662747009298,0,,0,0.0
1,5,5,80.22868739640933,0.5582197024366723,unidentified,0,0.0,Reticulum II,1.5299442768913583,52.64610262626493,-55.39933355173248,4.277341116775701,-0.42940329435075775,0,,0,0.0
2,99,99,76.12661983840343,11.34663073027564,ReticulumII,61,0.6161616161616161,Reticulum II,0.02120106006625929,53.8850366463749,-54.04673609065037,2.403385020595833,-1.3504579259678806,0,,61,0.8133333333333334
3,10,10,52.6304704793803,1.3784193906562527,unidentified,0,0.0,Reticulum II,1.4043612450329042,52.828369299889125,-52.81169249205642,4.647332742798093,2.016357710112641,0,,0,0.0
4,5,5,28.286220383048914,0.9401183809464029,unidentified,0,0.0,Reticulum II,1.2630201277752475,52.45116778104832,-53.14642202005653,1.58196614622686,-2.73632330091648,0,,0,0.0
