gid,cluster,source_id,known_member,Gamma,ra,dec,pmra,pmdec,G,bp_rp,Y_index
-1,unclustered,3727827516082474880,BootesII,66.15209786529742,209.48408832966626,12.868766707468035,-2.6876627988400195,-0.2889766520894651,19.0072021484375,1.0331344604492188,3932
-1,unclustered,3727488183601761536,,65.2268717982083,210.52184957610353,12.008639841002582,-1.2776838203874867,-1.1311472917688805,18.04041862487793,0.8828887939453125,3338
-1,unclustered,3727826519650056832,BootesII,62.69845560370132,209.5394719025547,12.857189325545583,-2.7065120796900977,0.016623156976437677,19.986722946166992,0.8628349304199219,4422
0,cluster 0,1230774624435416832,BootesI,254.2376905820523,210.01257047557493,14.209999840149232,-0.4756451902605132,-1.3517583703397364,19.476036071777344,0.9173297882080078,2074
0,cluster 0,1230819704412148224,BootesI,249.08271459075252,209.872323335415,14.17873463692056,-0.2707502590307413,-1.421662210433619,19.5021915435791,0.25926780700683594,2012
0,cluster 0,1230829668736348032,BootesI,245.28676609357188,210.0016962941152,14.387382250706404,-0.3035922431795015,-1.1607479713761806,19.16242027282715,1.0396919250488281,1792
0,cluster 0,1230833585745987968,BootesI,244.2749970649877,210.0410481804865,14.473049493307462,-0.3768733334917382,-1.215146080386901,17.70720672607422,1.225088119506836,1727
0,cluster 0,1230823724501603200,BootesI,240.5074626484733,210.00638779694518,14.365059603216794,0.04247468480093891,-1.3584131937318684,19.350088119506836,1.0339851379394531,1850
0,cluster 0,1230831524161686016,BootesI,238.54328552222495,210.16484931969495,14.474405180362176,-0.3414677027439162,-1.3086067198748,19.651412963867188,0.13582992553710938,2080
0,cluster 0,1230823247760125184,BootesI,237.29163111010405,209.95334647486834,14.328578924492852,-0.3444823448729043,-1.1361418605476419,17.108470916748047,1.2574481964111328,956
0,cluster 0,1230834410380273664,BootesI,236.8234555143768,209.92576667870625,14.495078452313052,-0.30632533344776836,-1.4668969473977302,19.038597106933594,1.0676212310791016,2120
0,cluster 0,1230833723185498240,BootesI,236.7494425222335,209.9910328436071,14.467370552129465,0.11716493314006761,-1.4120141908478483,19.96461296081543,1.068166732788086,1306
0,cluster 0,1230826542000661632,BootesI,230.61433830520946,209.90506677944842,14.362645092145142,0.2203351507436505,-1.6289839474648244,19.866804122924805,0.8373966217041016,1305
0,cluster 0,1230830222787069056,BootesI,228.272527309044,210.04884665607668,14.417053479799495,-0.29386465012027174,-1.070174843452774,17.490297317504883,1.2451648712158203,1852
0,cluster 0,1230826335841709184,BootesI,222.06768927358996,209.89800716510604,14.33991683282659,-0.36710580030592255,-1.0546834544310066,17.6048583984375,1.155853271484375,2050
0,cluster 0,1230829153339697664,BootesI,219.95371897959595,210.10535115189435,14.39135415380326,0.3724511463338059,-1.568241008564326,20.373979568481445,1.0568294525146484,1791
0,cluster 0,1230772597210842624,BootesI,219.8974242178513,209.95568368226867,14.168160357021835,0.11714382471241057,-1.2769609471443868,19.43158721923828,0.5130882263183594,626
0,cluster 0,1230767168373195776,,219.22836033120552,210.07785579297519,14.066925251355118,-0.1772297182866854,-1.7304178706094187,20.626331329345703,0.37586021423339844,1532
0,cluster 0,1230773937240652800,BootesI,218.84066314502354,210.06138175849492,14.220532274939544,-0.2588986015933078,-1.0281377749271063,18.631032943725586,1.0699386596679688,1143
0,cluster 0,1230835170589374080,BootesI,218.2032450182885,210.04457190481665,14.49011780373166,-0.07434891667103387,-0.9897929593520371,19.11893653869629,1.0456523895263672,1478
0,cluster 0,1230775449069163648,BootesI,216.73792677103313,210.0269303167922,14.27514344284377,-0.6335081597925452,-1.5085363194595998,19.338808059692383,0.9483776092529297,1655
0,cluster 0,1230831597176581248,BootesI,216.10013202838886,210.15579203810356,14.482783868022699,-0.4966743310006949,-1.124613891531012,16.36550521850586,1.4744596481323242,1618
0,cluster 0,1230775345989954176,BootesI,215.30192003569113,210.08794402100378,14.291093301938114,-0.5007664610317522,-1.0771910526594661,18.069913864135742,1.139669418334961,1608
0,cluster 0,1230830493370084736,BootesI,215.02037098984272,210.02338139396437,14.438570355498262,0.29797763553652945,-1.1331165337050344,19.911540985107422,0.7144851684570312,1725
0,cluster 0,1230827538432572416,BootesI,214.7978217272277,209.85726173577152,14.39588793052653,-0.12807033670731863,-0.9984661999555466,19.437490463256836,0.66827392578125,1617
0,cluster 0,1230828947181261696,BootesI,214.00913602579843,210.07734067496114,14.380423302067209,-0.5933819197471442,-1.1421275257316403,18.896406173706055,1.1295814514160156,1968
0,cluster 0,1230828122548139008,BootesI,212.78437532001055,209.9140150911886,14.444006158088804,0.18908614701365503,-1.950357321218373,19.861026763916016,1.0452098846435547,635
0,cluster 0,1230830252851349120,BootesI,211.53339977928,210.0576626020984,14.435534112530343,-0.5366994161766143,-1.7806140899430654,20.04867172241211,1.000823974609375,1250
0,cluster 0,1230834826991993088,BootesI,211.31674951958462,209.95405532600086,14.501722187644425,-0.2865936596693468,-1.0042384410407634,17.488422393798828,1.185373306274414,2082
0,cluster 0,1230833413947850752,BootesI,211.17103716396548,209.97132347671715,14.4595458033875,0.3030404131251308,-1.1190212230095968,20.35527992248535,0.9534034729003906,1477
0,cluster 0,1230832417514898048,BootesI,210.41412571814442,210.13780319897927,14.499912891578266,-0.05773344024986171,-1.0226106921954081,19.1600341796875,1.012674331665039,1795
0,cluster 0,1230830497665159680,BootesI,206.7017763524198,210.02162706831666,14.440773501748271,0.3222189498244252,-1.0617701911561663,19.6461124420166,-0.06528091430664062,2053
0,cluster 0,1230826060963809792,BootesI,206.25790155579006,209.77952037307054,14.356994399231604,0.06595761980818104,-1.7225109368861724,20.360889434814453,0.8006763458251953,1675
0,cluster 0,1230776376781505664,,202.3838495223647,210.27719971464333,14.241639710554745,0.22644298779190253,-1.5265457006456131,19.463441848754883,0.62835693359375,1144
0,cluster 0,1230841144888992256,BootesI,200.6168173473206,209.79747778264334,14.488980887111405,-0.17179911035679257,-0.9684645153054933,19.69251823425293,0.10225868225097656,1544
0,cluster 0,1230827160475453056,BootesI,199.40597813614158,209.9187637804257,14.40405366192709,-0.20595313940365423,-1.993470257450256,20.320241928100586,1.15338134765625,1473
0,cluster 0,1230834620833562624,BootesI,199.36037533800248,209.96212706068988,14.500773005917123,-0.5394595157124966,-1.026404798498547,16.51174545288086,1.4348831176757812,1676
0,cluster 0,1230823174745775360,,199.21303837735155,209.95889739994226,14.3290052150539,-0.03511192697760773,-2.134846234267812,19.743860244750977,0.7692756652832031,2013
0,cluster 0,1230831047420766464,BootesI,195.397454604639,210.10763141099943,14.435445478479105,-0.37855589689643104,-0.9072042361226688,17.681875228881836,1.1917915344238281,1661
0,cluster 0,1230830012333739008,BootesI,195.25634140509283,210.0164889631156,14.407271029313463,-0.0057961896303001526,-0.8561984837949198,19.599576950073242,0.2064228057861328,2052
0,cluster 0,1230830184131867392,BootesI,192.72363634640573,210.06672170011825,14.424731883370178,-0.297955778882859,-0.8188165108151405,19.15203094482422,1.0687332153320312,1380
0,cluster 0,1230777270134712192,BootesI,190.65991298645997,210.19585086396404,14.265979575763275,-0.6121731794170298,-1.0389366494852208,20.64447784423828,0.6187763214111328,2046
0,cluster 0,1230833482666763136,BootesI,190.59193795973155,210.0235397444565,14.45129691927707,-0.3071590920322174,-0.8272453038565342,19.37605094909668,0.6617641448974609,1796
0,cluster 0,1230841110529259904,BootesI,185.87463139306945,209.75970767734032,14.506439823152121,-0.4312726731491292,-0.9918387460550302,17.643672943115234,1.162252426147461,1969
0,cluster 0,1230827297914411776,BootesI,184.35244217699582,209.9430725166158,14.419950313482127,0.6285384586233785,-2.0327166379549464,19.88627052307129,0.8499832153320312,634
0,cluster 0,1230673194490322944,,183.87277755866947,210.00263831484824,14.005222879875868,-0.24483349641984098,-1.932944388802216,20.733924865722656,0.25861549377441406,1878
0,cluster 0,1230823312184726272,BootesI,180.41743874301204,209.91088362101857,14.321077841315468,-0.721448431512823,-1.107279437813411,18.46048355102539,1.0054092407226562,1615
0,cluster 0,1230672855185390592,,178.22596888700846,209.95797842737724,13.989036899607004,-0.3926699470106122,-1.2187982671599569,20.804641723632812,0.705169677734375,608
0,cluster 0,1230777927264712704,,178.22452794399916,210.32704634102691,14.256946218374347,-0.4585874038264034,-1.1761800224021386,17.849756240844727,1.2280158996582031,1962
0,cluster 0,1230661065502765696,BootesI,178.219846804842,210.08095961020288,13.993952173097632,-0.2719312657696438,-1.2070541296948285,18.123807907104492,1.1297969818115234,1874
0,cluster 0,1230843309552514560,BootesI,177.26039996662684,209.57916001105625,14.502159634737504,-0.13572845393022986,-1.4311810718391642,19.400516510009766,0.9950504302978516,2056
0,cluster 0,1230819841851105536,BootesI,176.2306150813053,209.90329889870128,14.194647353098775,-0.5056105223240581,-0.9021498589137561,19.079345703125,1.115591049194336,1720
0,cluster 0,1230780671748820480,,174.83135610806272,210.19064044703305,14.290233173167124,0.05747842418840288,-2.1846704230036456,19.396928787231445,0.7338142395019531,1297
0,cluster 0,1230822491846143104,,169.89045335936413,210.03350395913813,14.30646698236038,-0.8202215343361094,-1.0220784568977406,20.38409423828125,0.4727630615234375,1788
0,cluster 0,1230829118979954432,BootesI,166.19247891751405,210.08941277384847,14.382809691196757,-0.810627035216291,-0.989423016467021,19.859891891479492,1.0050468444824219,1249
0,cluster 0,1230820151088760832,BootesI,164.43163532570202,209.898240379906,14.227679142434758,-0.13999850921097873,-0.7269830682238715,19.457128524780273,1.0449466705322266,1721
0,cluster 0,1230767271451373696,BootesI,163.8987558472807,210.02437100485753,14.059140021536997,-0.3823880383837225,-0.8790555635740778,18.31717300415039,1.1293983459472656,1374
0,cluster 0,1230834547819224448,BootesI,162.13055727266763,209.96095954000526,14.486425664828557,-0.5321354997193232,-0.7448087942992668,18.5450439453125,1.0897083282470703,2017
